numero_opportunidad,cliente,unidad_negocio,etapas,tipos,acv,tcv,margen_ganancia,regiones,territorios,industrias,fecha_creacion_oportunidad,fecha_cierre_oportunidad,edad_oferta,lead_source,numero_vendedor
OP-05667,CL-00457,BU-07,Lost,TY-05,2917.1,2917.1,0.27,RE-03,TE-03,IN-01,2021-10-05,2022-10-16,376.0,LS-00,NV-0
OP-05668,CL-00808,BU-05,Won,TY-00,5031.99,5031.99,0.16,RE-02,TE-05,IN-26,2019-05-10,2019-05-10,0.0,LS-23,NV-1
OP-05669,CL-00742,BU-04,S6,TY-00,347437.73,347437.73,0.18,RE-02,TE-10,IN-31,2023-04-28,2023-11-17,170.0,LS-03,NV-3
OP-05670,CL-00457,BU-07,Lost,TY-05,11538.08,11538.08,0.09,RE-03,TE-04,IN-62,2021-09-16,2022-09-27,376.0,LS-03,NV-0
OP-05671,CL-00808,BU-05,Won,TY-00,18013.06,18013.06,0.3,RE-02,TE-06,IN-19,2019-06-10,2019-06-10,0.0,LS-16,NV-4
OP-05672,CL-00742,BU-04,S1,TY-00,291709.54,291709.54,0.22,RE-02,TE-01,IN-62,2023-03-30,2023-11-08,190.0,LS-11,NV-1
OP-05673,CL-00457,BU-07,Lost,TY-05,19447.3,19447.3,0.21,RE-03,TE-06,IN-16,2021-09-09,2022-09-20,376.0,LS-11,NV-4
OP-05674,CL-00808,BU-05,Won,TY-00,5907.12,5907.12,0.21,RE-02,TE-06,IN-42,2019-03-17,2019-03-17,0.0,LS-17,NV-4
OP-05675,CL-00742,BU-04,S5,TY-00,75844.48,322339.04,0.14,RE-02,TE-00,IN-04,2023-11-04,2023-12-26,20.0,LS-05,NV-1
OP-05676,CL-00457,BU-07,Lost,TY-05,4861.83,4861.83,0.28,RE-03,TE-07,IN-06,2021-08-03,2022-08-14,376.0,LS-17,NV-3
OP-05677,CL-00808,BU-05,Won,TY-00,1312.69,1312.69,0.17,RE-02,TE-05,IN-49,2019-04-16,2019-04-16,0.0,LS-04,NV-0
OP-05678,CL-00742,BU-04,S5,TY-00,87843.47,87843.47,0.17,RE-02,TE-00,IN-11,2023-09-09,2023-10-22,20.0,LS-24,NV-1
OP-05679,CL-00457,BU-07,Lost,TY-05,49298.91,49298.91,0.26,RE-03,TE-00,IN-62,2021-08-20,2022-08-31,376.0,LS-13,NV-2
OP-05680,CL-00808,BU-05,Won,TY-00,8600.57,8600.57,0.08,RE-02,TE-12,IN-15,2019-03-24,2019-03-24,0.0,LS-17,NV-1
OP-05681,CL-00742,BU-04,S6,TY-00,3889460.53,3889460.53,0.08,RE-02,TE-05,IN-34,2023-06-11,2023-11-27,146.0,LS-07,NV-2
OP-05682,CL-01294,BU-03,S3,TY-05,49921.11,153923.44,0.26,RE-01,TE-08,IN-60,2023-06-06,2024-02-12,128.0,LS-30,NV-4
OP-05683,CL-00808,BU-05,Won,TY-00,6587.77,6587.77,0.15,RE-02,TE-00,IN-40,2019-05-10,2019-05-10,0.0,LS-09,NV-2
OP-05684,CL-01294,BU-03,S3,TY-05,326317.69,769617.18,0.23,RE-01,TE-06,IN-12,2023-07-14,2024-02-06,84.0,LS-04,NV-0
OP-05685,CL-00808,BU-05,Won,TY-00,2990.02,2990.02,0.05,RE-02,TE-12,IN-54,2019-02-01,2019-02-01,0.0,LS-16,NV-0
OP-05686,CL-00742,BU-04,S6,TY-00,173718.87,173718.87,0.15,RE-02,TE-15,IN-19,2023-04-25,2023-09-21,132.0,LS-35,NV-0
